{'feature': [5, 0, 0, 606.0, 303.0, 2429, 49, 0, 0, 0, 7, 3, 0, 5, 0, 616], 'label': 1}
{'feature': [6, 0, 1, 771461.0, 192865.25, 7679, 19, 0, 0, 1, 10, 3, 0, 0, 1, 261], 'label': 1}
{'feature': [12, 0, 1, 853048.0, 426524.0, 1883, 30, 0, 0, 1, 8, 102, 0, 3, 0, 195], 'label': 1}
{'feature': [1, 0, 1, 987284.0, 987284.0, 495, 38, 1, 0, 0, 2, 102, 0, 0, 0, 332], 'label': 1}
{'feature': [3, 0, 2, 1707309.0, 853654.5, 1835, 26, 0, 0, 0, 16, 102, 0, 2, 0, 575], 'label': 1}
{'feature': [2, 0, 5, 2169168.0, 433833.6, 1331, 35, 0, 0, 0, 7, 102, 0, 3, 0, 639], 'label': 1}
{'feature': [4, 0, 2, 899072.0, 449536.0, 2410, 37, 0, 1, 0, 11, 102, 0, 0, 0, 507], 'label': 1}
{'feature': [3, 0, 3, 1382383.0, 345595.75, 1236, 35, 0, 0, 0, 2, 102, 0, 0, 0, 659], 'label': 1}
{'feature': [3, 0, 4, 2008556.0, 401711.2, 1339, 48, 0, 0, 0, 3, 102, 0, 0, 1, 556], 'label': 1}
{'feature': [2, 0, 1, 1017409.0, 339136.3333333333, 874, 33, 0, 1, 0, 7, 102, 0, 0, 0, 524], 'label': 1}
{'feature': [2, 0, 2, 460248.0, 153416.0, 424, 57, 1, 1, 0, 19, 102, 0, 0, 0, 473], 'label': 1}
{'feature': [1, 0, 3, 2560141.0, 853380.3333333334, 725, 68, 0, 0, 1, 4, 102, 0, 0, 0, 219], 'label': 1}
{'feature': [1, 0, 1, 357539.0, 357539.0, 529, 40, 0, 0, 1, 6, 102, 0, 0, 1, 245], 'label': 1}
{'feature': [4, 0, 1, 987710.0, 493855.0, 1298, 41, 0, 0, 0, 5, 102, 0, 0, 0, 547], 'label': 1}
{'feature': [1, 0, 3, 812773.0, 203193.25, 936, 39, 0, 0, 0, 138, 102, 0, 0, 1, 387], 'label': 1}
{'feature': [1, 0, 1, 771020.0, 385510.0, 2660, 44, 0, 0, 0, 138, 102, 0, 0, 0, 529], 'label': 1}
{'feature': [1, 0, 3, 923427.0, 307809.0, 1610, 88, 0, 0, 0, 79, 102, 0, 0, 0, 407], 'label': 1}
{'feature': [3, 0, 2, 1151524.0, 383841.3333333333, 1681, 38, 0, 1, 0, 2, 102, 1, 0, 1, 505], 'label': 1}
{'feature': [3, 0, 3, 2196415.0, 732138.3333333334, 937, 44, 0, 0, 0, 94, 21, 0, 1, 0, 682], 'label': 1}
{'feature': [5, 0, 1, 418856.0, 139618.66666666666, 595, 30, 0, 1, 0, 52, 21, 0, 1, 0, 450], 'label': 1}
{'feature': [4, 0, 1, 514540.0, 257270.0, 493, 36, 0, 0, 1, 17, 21, 0, 0, 0, 154], 'label': 1}
{'feature': [12, 0, 3, 1792419.0, 448104.75, 1330, 75, 1, 1, 0, 7, 21, 0, 0, 0, 497], 'label': 1}
{'feature': [0, 0, 1, 358720.0, 89680.0, 506, 24, 0, 1, 0, 2, 5, 1, 0, 0, 566], 'label': 1}
{'feature': [1, 0, 4, 2553954.0, 638488.5, 997, 27, 0, 0, 0, 17, 5, 0, 0, 1, 302], 'label': 1}
{'feature': [3, 0, 1, 987588.0, 493794.0, 437, 35, 0, 0, 0, 6, 5, 0, 0, 0, 208], 'label': 1}
{'feature': [1, 0, 2, 232556.0, 77518.66666666667, 459, 64, 0, 0, 0, 2, 5, 0, 0, 0, 348], 'label': 1}
{'feature': [0, 0, 2, 1219925.0, 609962.5, 335, 61, 0, 0, 0, 16, 5, 0, 0, 0, 588], 'label': 1}
{'feature': [3, 0, 3, 870940.0, 217735.0, 1444, 17, 0, 0, 0, 1, 5, 2, 0, 0, 273], 'label': 1}
{'feature': [2, 0, 1, 988058.0, 329352.6666666667, 283, 35, 1, 1, 0, 3, 5, 0, 0, 0, 610], 'label': 1}
{'feature': [4, 0, 5, 3115517.0, 623103.4, 1417, 56, 0, 0, 0, 3, 5, 0, 0, 0, 434], 'label': 1}
{'feature': [1, 0, 1, 514482.0, 257241.0, 1162, 19, 0, 0, 0, 1, 5, 0, 0, 1, 554], 'label': 1}
{'feature': [1, 0, 1, 204243.0, 102121.5, 935, 36, 1, 0, 1, 3, 36, 0, 0, 1, 321], 'label': 1}
